STATION,Date,DAPR,MDPR,Precmm,SNOW,SNWD,TMAX,TMIN,TOBS
USC00312200,2/9/16,,,0,0,0,6.7,-3.9,-3.9
USC00312200,2/10/16,,,0,0,0,-2.2,-8.3,-8.3
USC00312200,2/11/16,,,0,0,,-3.3,-8.9,-4.4
USC00312200,2/12/16,,,0,,,5.6,-4.4,-2.8
USC00312200,2/13/16,,,0,0,0,3.3,-6.1,-4.4
USC00312200,2/14/16,,,0,0,,3.3,-8.9,-6.1
USC00312200,2/15/16,,,0,,,-1.1,-6.1,-1.1
USC00312200,2/16/16,,,15.7,,,8.9,-1.1,2.2
USC00312200,2/17/16,,,4.1,,,12.2,0.6,1.7
USC00312200,2/18/16,,,0,,,10.6,-2.8,-1.7
USC00312200,2/19/16,,,0,,,13.9,-2.2,-2.2
USC00312200,2/20/16,,,0,,,15.6,-2.8,4.4
USC00312200,2/21/16,,,2.5,,,8.9,4.4,6.1
USC00312200,2/22/16,,,5.3,,,12.2,6.1,8.9
USC00312200,2/23/16,,,25.7,,,17.8,7.8,7.8
USC00312200,2/24/16,,,29.2,,,13.3,7.8,13.3
USC00312200,2/25/16,,,14,,,16.1,1.1,1.7
USC00312200,2/26/16,,,0.3,0,0,4.4,-1.1,-0.6
USC00312200,2/27/16,,,0,0,0,6.7,-5.6,-5
USC00312200,2/28/16,,,0,,,12.8,-5,3.9
USC00312200,2/29/16,,,0,,,19.4,2.8,11.7
USC00312200,3/1/16,,,0,0,0,18.9,-0.6,1.7
USC00312200,3/2/16,,,10.9,0,0,15,1.7,1.7
USC00312200,3/3/16,,,0,0,0,7.8,-2.8,-2.8
USC00312200,3/4/16,,,2,0,0,7.8,-2.8,2.8
USC00312200,3/5/16,,,0,0,0,10.6,-3.3,-3.3
USC00312200,3/6/16,,,1.3,0,0,14.4,-3.3,-1.1
USC00312200,3/7/16,,,0,0,0,18.3,-1.7,0
USC00312200,3/8/16,,,0,0,0,20,0,3.3
USC00312200,3/9/16,,,0,0,0,22.8,3.3,6.7
USC00312200,3/10/16,,,0,0,0,23.3,6.7,11.7
USC00312200,3/11/16,,,0,0,0,23.3,10.6,11.7
USC00312200,3/12/16,,,0,0,0,25.6,10,14.4
